dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,zero_shot,phi_4_reasoning,qwen3_30b_a3b,100,0.66,0.03,2,65,57.37313432835821,6.801200228001569e-16
gsm8k,zero_shot,phi_4_reasoning,qwen3_8b,100,0.66,0.01,0,65,63.01538461538462,1.1633489310769463e-16
gsm8k,zero_shot,qwen3_30b_a3b,qwen3_8b,100,0.03,0.01,1,3,0.25,0.625
math_l1_l3,cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.24,0.22,8,10,0.05555555555555555,0.8145294189453125
math_l1_l3,cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.24,0.37,16,3,7.578947368421052,0.004425048828125
math_l1_l3,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.24,0.06,3,21,12.041666666666666,0.0002771615982055664
math_l1_l3,cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.24,0.0,0,24,22.041666666666668,1.1920928955078125e-07
math_l1_l3,cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.24,0.02,1,23,18.375,2.9802322387695312e-06
math_l1_l3,cot,gemma_4_26b_a4b,qwen3_8b,100,0.24,0.0,0,24,22.041666666666668,1.1920928955078125e-07
math_l1_l3,cot,gemma_4_e2b,gemma_4_e4b,100,0.22,0.37,19,4,8.521739130434783,0.002599477767944336
math_l1_l3,cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.22,0.06,1,17,12.5,0.00014495849609375
math_l1_l3,cot,gemma_4_e2b,phi_4_reasoning,100,0.22,0.0,0,22,20.045454545454547,4.76837158203125e-07
math_l1_l3,cot,gemma_4_e2b,qwen3_30b_a3b,100,0.22,0.02,0,20,18.05,1.9073486328125e-06
math_l1_l3,cot,gemma_4_e2b,qwen3_8b,100,0.22,0.0,0,22,20.045454545454547,4.76837158203125e-07
math_l1_l3,cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.37,0.06,1,32,27.272727272727273,7.916241884231567e-09
math_l1_l3,cot,gemma_4_e4b,phi_4_reasoning,100,0.37,0.0,0,37,35.027027027027025,1.4551915228366852e-11
math_l1_l3,cot,gemma_4_e4b,qwen3_30b_a3b,100,0.37,0.02,0,35,33.02857142857143,5.820766091346741e-11
math_l1_l3,cot,gemma_4_e4b,qwen3_8b,100,0.37,0.0,0,37,35.027027027027025,1.4551915228366852e-11
math_l1_l3,cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.06,0.0,0,6,4.166666666666667,0.03125
math_l1_l3,cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.06,0.02,0,4,2.25,0.125
math_l1_l3,cot,phi_4_mini_reasoning,qwen3_8b,100,0.06,0.0,0,6,4.166666666666667,0.03125
math_l1_l3,cot,phi_4_reasoning,qwen3_30b_a3b,100,0.0,0.02,2,0,0.5,0.5
math_l1_l3,cot,phi_4_reasoning,qwen3_8b,100,0.0,0.0,0,0,0.0,1.0
math_l1_l3,cot,qwen3_30b_a3b,qwen3_8b,100,0.02,0.0,0,2,0.5,0.5
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.39,0.36,17,20,0.10810810810810811,0.7428293587290682
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.39,0.49,18,8,3.1153846153846154,0.07551869750022888
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.39,0.08,4,35,23.076923076923077,3.353161446284503e-07
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.39,0.0,0,39,37.02564102564103,3.637978807091713e-12
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.39,0.15,3,27,17.633333333333333,8.430331945419312e-06
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,100,0.39,0.21,9,27,8.027777777777779,0.00393317302223295
math_l1_l3,few_shot_cot,gemma_4_e2b,gemma_4_e4b,100,0.36,0.49,18,5,6.260869565217392,0.010622024536132812
math_l1_l3,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.36,0.08,4,32,20.25,1.941574737429619e-06
math_l1_l3,few_shot_cot,gemma_4_e2b,phi_4_reasoning,100,0.36,0.0,0,36,34.02777777777778,2.9103830456733704e-11
math_l1_l3,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,100,0.36,0.15,5,26,12.903225806451612,0.00019219517707824707
math_l1_l3,few_shot_cot,gemma_4_e2b,qwen3_8b,100,0.36,0.21,7,22,6.758620689655173,0.008130058646202087
math_l1_l3,few_shot_cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.49,0.08,2,43,35.55555555555556,5.88897819397971e-11
math_l1_l3,few_shot_cot,gemma_4_e4b,phi_4_reasoning,100,0.49,0.0,0,49,47.02040816326531,3.552713678800501e-15
math_l1_l3,few_shot_cot,gemma_4_e4b,qwen3_30b_a3b,100,0.49,0.15,2,36,28.657894736842106,5.398760549724102e-09
math_l1_l3,few_shot_cot,gemma_4_e4b,qwen3_8b,100,0.49,0.21,1,29,24.3,5.774199962615967e-08
math_l1_l3,few_shot_cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.08,0.0,0,8,6.125,0.0078125
math_l1_l3,few_shot_cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.08,0.15,11,4,2.4,0.11846923828125
math_l1_l3,few_shot_cot,phi_4_mini_reasoning,qwen3_8b,100,0.08,0.21,15,2,8.470588235294118,0.002349853515625
